label,Ne,VA,L,eps_star,gen_err,TTR2_months
AML,1200,0.22,15,0.17665754891905064,0.333,3.003003003003003
GBM,1800,0.195,8,0.10986664553600274,0.25,4.0
SKCM,2750,0.162,10,0.09117039987363129,0.2,5.0
HNSC,3100,0.155,12,0.09112246458634485,0.167,5.988023952095808
BRCA-TNBC,4100,0.141,9,0.06862791754166354,0.2,5.0
LUSC,5100,0.112,18,0.07380520490091665,0.083,12.048192771084336
NSCLC-EGFR,5050,0.112,12,0.06279166665936481,0.083,12.048192771084336
NSCLC-ICB,5800,0.092,18,0.06330807616610602,0.1,10.0
UCEC,6200,0.085,11,0.04829394190885387,0.071,14.084507042253522
STAD,7000,0.078,12,0.04547827203007748,0.1,10.0
CRC,7600,0.068,14,0.04366311037928974,0.125,8.0
ESCA,8500,0.058,12,0.03603248939343364,0.143,6.993006993006993
LIHC,9100,0.052,11,0.031943075306183774,0.125,8.0
PRAD-met,9800,0.047,11,0.02939715579891362,0.083,12.048192771084336
KIRC,10400,0.042,10,0.026024304599270492,0.067,14.925373134328357
THCA,14200,0.019,4,0.010484971976202804,0.02,50.0
BLCA,5600,0.104,12,0.057858999093921865,0.125,8.0
